,City,Country,Lat,Lng,Hotel Name
0,nelson bay,AU,-32.7167,152.15,
1,rikitea,PF,-23.1203,-134.9692,
2,brae,GB,60.3964,-1.3530000000000002,
3,vokhtoga,RU,58.8147,41.0461,
4,hobart,AU,-42.8794,147.3294,
5,avarua,CK,-21.2078,-159.775,
6,qaanaaq,GL,77.484,-69.3632,
7,tessalit,ML,20.1986,1.0114,
8,mataura,NZ,-46.1927,168.8643,
9,bluff,NZ,-46.6,168.3333,
10,ushuaia,AR,-54.8,-68.3,
11,carnarvon,AU,-24.8667,113.6333,
12,tiksi,RU,71.6872,128.8694,
13,yellowknife,CA,62.456,-114.3525,
14,punta arenas,CL,-53.15,-70.9167,
15,san luis,AR,-33.295,-66.3356,
16,atuona,PF,-9.8,-139.0333,
17,vaini,TO,-21.2,-175.2,
18,port alfred,ZA,-33.5906,26.891,
19,zatoka,UA,46.0725,30.4654,
20,dikson,RU,73.5069,80.5464,
21,chokurdakh,RU,70.6333,147.9167,
22,marsabit,KE,2.3284,37.9899,
23,torbay,CA,47.6666,-52.7314,
24,bambous virieux,MU,-20.3428,57.7575,
25,tabou,CI,4.423,-7.3528,
26,vao,NC,-22.6667,167.4833,
27,ancud,CL,-41.8697,-73.8203,
28,buala,SB,-8.145,159.5921,
29,albany,US,42.6001,-73.9662,
30,jamestown,US,42.097,-79.2353,
31,busselton,AU,-33.65,115.3333,
32,castro,BR,-24.7911,-50.0119,
33,kodiak,US,57.79,-152.4072,
34,camacha,PT,33.0833,-16.3333,
35,provideniya,RU,64.3833,-173.3,
36,thompson,CA,55.7435,-97.8558,
37,new norfolk,AU,-42.7826,147.0587,
38,henties bay,,-22.116,14.2845,
39,pevek,RU,69.7008,170.3133,
40,faanui,PF,-16.4833,-151.75,
41,antofagasta,CL,-23.65,-70.4,
42,klaksvik,FO,62.2266,-6.5889999999999995,
43,dingle,PH,10.9995,122.6711,
44,mar del plata,AR,-38.0023,-57.5575,
45,esperance,AU,-33.8667,121.9,
46,fort nelson,CA,58.8053,-122.7002,
47,kapaa,US,22.0752,-159.319,
48,hithadhoo,MV,-0.6,73.0833,
49,clyde river,CA,70.4692,-68.5914,
50,bengkulu,ID,-3.8004,102.2655,
51,lere,NG,10.387,8.5726,
52,zhezkazgan,KZ,47.8043,67.7144,
53,lorengau,PG,-2.0226,147.2712,
54,cape town,ZA,-33.9258,18.4232,
55,saskylakh,RU,71.9167,114.0833,
56,kota tinggi,MY,1.7381,103.8999,
57,ilulissat,GL,69.2167,-51.1,
58,victoria,HK,22.2855,114.1577,
59,svetlogorsk,BY,52.6333,29.7333,
60,nizwa,OM,22.9333,57.5333,
61,slave lake,CA,55.2834,-114.76899999999999,
62,delano,US,35.7688,-119.24700000000001,
63,nybro,SE,56.7446,15.9071,
64,longyearbyen,SJ,78.2186,15.6401,
65,hilo,US,19.7297,-155.09,
66,bukama,CD,-9.2,25.85,
67,barrow,US,71.2906,-156.7887,
68,auki,SB,-8.7676,160.7034,
69,parakou,BJ,9.3372,2.6303,
70,huntington,US,38.4193,-82.4452,
71,guiratinga,BR,-16.3494,-53.7583,
72,kruisfontein,ZA,-34.0033,24.7314,
73,padang,ID,-0.9492,100.3543,
74,hambantota,LK,6.1241,81.1185,
75,tocache,PE,-8.1842,-76.5125,
76,hermanus,ZA,-34.4187,19.2345,
77,sao filipe,CV,14.8961,-24.4956,
78,saint-philippe,RE,-21.3585,55.7679,
79,alyangula,AU,-13.8483,136.4192,
80,arraial do cabo,BR,-22.9661,-42.0278,
81,lompoc,US,34.6391,-120.4579,
82,okato,NZ,-39.2,173.8833,
83,lovozero,RU,68.005,35.0117,
84,khovu-aksy,RU,51.1333,93.6,
85,kutum,SD,14.2,24.6667,
86,bilma,NE,18.6853,12.9164,
87,mahajanga,MG,-15.7167,46.3167,
88,lasa,IT,46.6166,10.7002,
89,nanortalik,GL,60.1432,-45.2371,
90,caraquet,CA,47.7941,-64.9386,
91,sitka,US,57.0531,-135.33,
92,barabinsk,RU,55.3571,78.357,
93,tuktoyaktuk,CA,69.4541,-133.0374,
94,buraydah,SA,26.326,43.975,
95,butaritari,KI,3.0707,172.7902,
96,grindavik,IS,63.8424,-22.4338,
97,lamar,US,33.6668,-95.5836,
98,mitsamiouli,KM,-11.3847,43.2844,
99,porto walter,BR,-8.2686,-72.7439,
100,kavieng,PG,-2.5744,150.7967,
101,manokwari,ID,-0.8667,134.0833,
102,marawi,PH,7.9986,124.2928,
103,ponta do sol,PT,32.6667,-17.1,
104,prince rupert,CA,54.3161,-130.3201,
105,laguna,US,38.421,-121.4238,
106,sao mateus,BR,-18.7161,-39.8589,
107,bone,DE,51.9669,12.1396,
108,lircay,PE,-12.9896,-74.7205,
109,mahebourg,MU,-20.4081,57.7,
110,cabo san lucas,MX,22.8909,-109.9124,
111,port moresby,PG,-9.4431,147.1797,
112,palmer,US,42.1584,-72.3287,
113,jumla,NP,29.2747,82.1838,
114,aykhal,RU,66.0,111.5,
115,jiwani,PK,25.05,61.7417,
116,oranjemund,,-28.55,16.4333,
117,caravelas,BR,-17.7125,-39.2481,
118,khorixas,,-20.3667,14.9667,
119,makakilo city,US,21.3469,-158.0858,
120,panjab,AF,34.388000000000005,67.0233,
121,ginda,IN,30.6945,78.4932,
122,muzhi,RU,65.3667,64.6667,
123,terrasini,IT,38.146,13.0844,
124,husavik,IS,66.0449,-17.3389,
125,yongan,CN,39.6957,113.6871,
126,chiredzi,ZW,-21.05,31.6667,
127,kudahuvadhoo,MV,2.6708,72.8944,
128,upernavik,GL,72.7868,-56.1549,
129,cururupu,BR,-1.8283,-44.8683,
130,chuy,UY,-33.6971,-53.4616,
131,hami,CN,42.8,93.45,
132,olinda,BR,-8.0089,-34.8553,
133,tiznit,MA,29.5833,-9.5,
134,slobozia bradului,RO,45.5,27.05,
135,la ronge,CA,55.1001,-105.2842,
136,airai,TL,-8.9266,125.4092,
137,tasiilaq,GL,65.6145,-37.6368,
138,nadvoitsy,RU,63.8667,34.3167,
139,mehamn,NO,71.0357,27.8492,
140,georgetown,MY,5.4112,100.3354,
141,xuchang,CN,34.0167,113.8167,
142,sabha,LY,27.0377,14.4283,
143,aitape,PG,-3.1374,142.3475,
144,eureka,US,40.8021,-124.1637,
